Entity,Definition
Lisinopril,A medication used to treat high blood pressure (hypertension) and heart failure.
Ibuprofen,A common nonsteroidal anti-inflammatory drug (NSAID) used for pain and fever reduction.
Hypertension,"Persistently high blood pressure, a condition that increases the risk of heart disease and stroke."
Chronic,A medical condition lasting for a long period of time (usually 3 months or more).
Acute,A condition that starts suddenly and lasts for a short period of time.
Pain,An unpleasant sensory and emotional experience associated with actual or potential tissue damage.
Nausea,A feeling of sickness with an inclination to vomit.
Diabetes,"A disease in which the body's ability to produce or respond to the hormone insulin is impaired, resulting in high blood sugar levels."
Febrile,Relating to or characterized by fever.
Tachycardia,A condition that makes the heart beat faster than normal.
Bradycardia,A condition where the heart beats slower than normal.
Cephalalgia,The medical term for a headache.
Biopsy,"An examination of tissue removed from a living body to discover the presence, cause, or extent of a disease."
Lesion,"A region in an organ or tissue that has suffered damage through injury or disease, such as a wound, ulcer, abscess, or tumor."
Edema,Swelling caused by excess fluid trapped in your body's tissues.
Pneumonia,"An infection that inflames air sacs in one or both lungs, which may fill with fluid."
Anxiety,"A mental health disorder characterized by feelings of worry, nervousness, or fear that are strong enough to interfere with daily activities."
Dosage,The size or frequency of a dose of a medicine or radiation.
Diagnosis,The identification of the nature of an illness or other problem by examination of the symptoms.
Prognosis,The likely course of a disease or ailment.
EKG,"Short for electrocardiogram, a test that records the electrical signal from your heart to check for different heart conditions."
Palpitation,"A noticeably rapid, strong, or irregular heartbeat due to agitation, exertion, or illness."
Aspirin,"A common drug used as a pain reliever and fever reducer, also used to prevent blood clots."
Statin,A class of drugs used to lower cholesterol levels.
Viral,Caused by or relating to a virus.
Bacterial,Relating to or caused by bacteria.
Intravenous,"Existing or taking place within, or administered into, a vein."
Trauma,A physical wound or injury.
CBC,"Short for Complete Blood Count, a common blood test that evaluates three main blood cell types."
Hemoglobin,A protein in red blood cells that carries oxygen.
Infection,The invasion and multiplication of microorganisms in body tissues.
Inflammation,"A localized physical condition in which part of the body becomes reddened, swollen, hot, and often painful, as a reaction to injury or infection."
Sepsis,A life-threatening condition caused by the body's response to infection.
Hypotension,Abnormally low blood pressure.
Hyperglycemia,High levels of sugar in the blood.
Hypoglycemia,Low levels of sugar in the blood.
Aneurysm,An excessive localized enlargement of an artery caused by a weakening of the artery wall.
Arrhythmia,A condition where the heart beats with an irregular or abnormal rhythm.
Myocardial infarction,The medical term for a heart attack.
Angina,Severe pain in the chest caused by an inadequate blood supply to the heart.
Stroke,Damage to the brain from interruption of its blood supply.
Dementia,A general term for a decline in mental ability severe enough to interfere with daily life.
Alzheimer's disease,A progressive disease that destroys memory and other important mental functions.
Parkinson's disease,A progressive disorder of the nervous system that affects movement.
Epilepsy,"A disorder in which nerve cell activity in the brain is disturbed, causing seizures."
Asthma,"A respiratory condition marked by spasms in the bronchi of the lungs, causing difficulty in breathing."
Bronchitis,Inflammation of the lining of the bronchial tubes.
Emphysema,"A condition in which the air sacs of the lungs are damaged, causing breathlessness."
Tuberculosis (TB),A potentially serious infectious bacterial disease that mainly affects the lungs.
Hepatitis,Inflammation of the liver.
Cirrhosis,Chronic liver damage leading to scarring and liver failure.
Jaundice,"A medical condition with yellowing of the skin or whites of the eyes, arising from excess bilirubin."
Gastritis,Inflammation of the lining of the stomach.
Ulcer,An open sore on an external or internal surface of the body.
Colitis,Inflammation of the lining of the colon.
Appendicitis,A serious medical condition in which the appendix becomes inflamed and painful.
Kidney stone,"A small, hard deposit that forms in the kidneys and may cause severe pain as it passes."
Renal failure,A condition in which the kidneys lose the ability to remove waste and balance fluids.
Glaucoma,"A group of eye conditions that damage the optic nerve, often due to abnormally high pressure."
Cataract,A clouding of the lens in the eye that affects vision.
Allergy,"A damaging immune response by the body to a substance, especially pollen, fur, a particular food, or dust, to which it has become hypersensitive."
Autoimmune disease,A disease in which the body's immune system attacks healthy tissue.
Rheumatoid arthritis,"A chronic inflammatory disorder affecting many joints, including those in the hands and feet."
Lupus,"A chronic autoimmune disease that can damage any part of the body (skin, joints, and/or organs)."
Chemotherapy,Drug treatment that uses powerful chemicals to kill fast-growing cells in your body.
Radiotherapy,Treatment of disease (especially cancer) with X-rays or other forms of radiation.
Benign,(of a tumor) not harmful in effect; does not spread.
Malignant,(of a tumor) tending to spread and be life-threatening; cancerous.
Metastasis,The development of secondary malignant growths at a distance from a primary site of cancer.
Fracture,"The cracking or breaking of a hard object or structure, such as a bone."
Sprain,The wrenching or twisting of the ligaments of a joint.
Contusion,A region of injured tissue or skin in which blood capillaries have been ruptured; a bruise.
Concussion,A traumatic brain injury that affects brain function.
Anemia,A condition in which there is a deficiency of red cells or hemoglobin in the blood.
Leukemia,"A cancer of the blood-forming tissues, hindering the body's ability to fight infection."
Thrombosis,Local coagulation or clotting of the blood in a part of the circulatory system.
Embolism,"Obstruction of an artery, typically by a clot of blood or an air bubble."
Diuretic,A substance that promotes the increased production of urine.
Antibiotic,A medicine (such as penicillin) that inhibits the growth of or destroys microorganisms.
Vaccine,A substance used to stimulate the production of antibodies and provide immunity against one or several diseases.
Suture,A stitch or row of stitches holding together the edges of a wound or surgical incision.
Incision,A surgical cut made in skin or flesh.
CPR,"Cardiopulmonary Resuscitation, an emergency procedure that combines chest compressions with artificial ventilation."
A&E,"Accident and Emergency, a hospital department for people needing urgent treatment."
ENT,"Ear, Nose, and Throat, a common abbreviation for Otorhinolaryngology."
ICU,"Intensive Care Unit, a specialized hospital ward for critical patients."
MRI,"Magnetic Resonance Imaging, a technique that uses a magnetic field and radio waves to create detailed images of organs and tissues."
CT scan,"Computerized Tomography scan, a medical imaging technique using X-rays."
ECG/EKG,"Electrocardiogram, a test to measure the electrical activity of the heartbeat."
EEG,"Electroencephalogram, a test used to evaluate the electrical activity in the brain."
Bilirubin,A yellowish pigment that is made during the normal breakdown of red blood cells.
Creatinine,"A waste product from muscle metabolism, excreted by the kidneys."
Cholesterol,A fatty substance found in the blood; high levels can increase the risk of heart disease.
Triglycerides,A type of fat found in the blood; high levels can increase the risk of heart disease.
Platelets,Small blood cells that help the body form clots to stop bleeding.
White blood cell (WBC),Cells of the immune system involved in defending the body against both infectious disease and foreign materials.
Red blood cell (RBC),Cells that carry oxygen from the lungs to the rest of the body.
Celiac disease,An autoimmune disorder triggered by consuming gluten.
Crohn's disease,A type of inflammatory bowel disease (IBD).
Ulcerative colitis,A long-term condition that results in inflammation and ulcers of the colon and rectum.
Metformin,A common medication used to treat type 2 diabetes.
Insulin,A hormone that regulates the amount of glucose in the blood.
Amlodipine,A medication used to treat high blood pressure and chest pain (angina).
Losartan,A medication used to treat high blood pressure and to protect the kidneys from diabetes damage.
Atorvastatin,A statin medication used to lower cholesterol.
Simvastatin,A statin medication used to lower cholesterol.
Warfarin,An anticoagulant (blood thinner) used to prevent blood clots.
Clopidogrel,An antiplatelet medication used to prevent heart attacks and strokes in people with heart disease.
Hydrocodone,A powerful opioid pain medication.
Morphine,A potent opioid analgesic drug.
Fentanyl,A powerful synthetic opioid analgesic.
Benzodiazepine,A class of psychoactive drugs used to treat conditions like anxiety and insomnia.
Diazepam,"A benzodiazepine used to treat anxiety, seizures, and muscle spasms."
Omeprazole,"A proton pump inhibitor used to treat heartburn, acid reflux, and ulcers."
Diphenhydramine,An antihistamine primarily used to treat allergies.
Prednisone,"A corticosteroid used to treat conditions like asthma, allergies, and arthritis."
Allopurinol,"A drug used to decrease high uric acid levels, often to prevent gout."
Gout,"A form of arthritis characterized by severe pain, redness, and tenderness in joints."
Hysterectomy,A surgical operation to remove all or part of the uterus.
Appendectomy,Surgical removal of the appendix.
Tonsillectomy,Surgical removal of the tonsils.
Cholecystectomy,Surgical removal of the gallbladder.
Gastroscopy,"A procedure to look inside the esophagus, stomach, and duodenum using a flexible tube with a camera."
Colonoscopy,A procedure used to examine the large intestine (colon and rectum).
Catheter,"A flexible tube inserted into a narrow body passage or cavity, often to drain fluid."
Stent,"A tiny tube placed into an artery, blood vessel, or duct to keep it open."
Dialysis,A procedure to remove waste products and excess fluid from the blood when the kidneys stop working properly.
Intubation,"The process of inserting a tube, typically into the windpipe (trachea), to maintain an open airway."
Ventilator,A machine designed to move breathable air into and out of the lungs.
Inpatient,A patient who stays in a hospital while under treatment.
Outpatient,A patient who receives medical treatment without being admitted to a hospital.
Consultation,A meeting with a specialist to seek advice.
Referral,The direction of a patient to a medical specialist.
Etiology,The cause or set of causes of a disease or condition.
Pathology,The science of the causes and effects of diseases.
Immunology,The study of the immune system.
Endocrinology,The branch of physiology and medicine concerned with endocrine glands and hormones.
Dermatology,The branch of medicine concerned with the skin.
Cardiology,The branch of medicine dealing with the heart.
Neurology,The branch of medicine dealing with the nervous system.
Oncology,The study and treatment of tumors.
Orthopedics,The branch of medicine dealing with the correction of deformities of bones or muscles.
Pediatrics,The branch of medicine dealing with children and their diseases.
Geriatrics,The branch of medicine or social science dealing with the health and care of old people.
Psychiatry,The study and treatment of mental illness.
Radiology,"The science dealing with X-rays and other high-energy radiation, used for medical imaging."
Urology,The branch of medicine concerned with the urinary tract.
Anesthesia,A state of temporary loss of sensation or awareness.
Comorbidity,The presence of two or more chronic diseases or conditions in a patient.
Aphasia,"Loss of ability to understand or express speech, caused by brain damage."
Ataxia,The loss of full control of bodily movements.
Coma,A state of deep unconsciousness that lasts for a prolonged or indefinite period.
Delirium,"An acutely disturbed state of mind characterized by restlessness, illusions, and incoherence."
Syncope,Temporary loss of consciousness caused by a fall in blood pressure; fainting.
Vertigo,"A sensation of whirling and loss of balance, associated with inner ear disease."
Tinnitus,Ringing or buzzing in the ears.
Cyanosis,A bluish discoloration of the skin resulting from poor circulation or inadequate oxygenation of the blood.
Dyspnea,Difficult or labored breathing; shortness of breath.
Tachypnea,Abnormally rapid breathing.
Anuria,Failure of the kidneys to produce urine.
Dysuria,Painful or difficult urination.
Hematuria,The presence of blood in urine.
Proteinuria,The presence of abnormal quantities of protein in the urine.
Leukocytosis,An increase in the number of white blood cells in the blood.
Thrombocytopenia,A deficiency of platelets in the blood.
Hyperkalemia,Abnormally high levels of potassium in the blood.
Hypokalemia,Abnormally low levels of potassium in the blood.
Hyponatremia,Abnormally low levels of sodium in the blood.
Hypercalcemia,Abnormally high levels of calcium in the blood.
Acidosis,An excessively acidic condition of the body fluids or tissues.
Alkalosis,An excessively alkaline condition of the body fluids or tissues.
Atelectasis,Partial or complete collapse of the lung.
Pneumothorax,"The presence of air or gas in the cavity between the lungs and the chest wall, causing lung collapse."
Hypoxia,A state in which there is insufficient oxygen reaching the tissues.
Ischemia,An inadequate blood supply to an organ or part of the body.
Necrosis,The death of most or all of the cells in an organ or tissue.
Gangrene,"Localized death and decomposition of body tissue, resulting from obstructed circulation or bacterial infection."
Abscess,"A swollen area within body tissue, containing an accumulation of pus."
Cellulitis,"A common, potentially serious bacterial skin infection."
Dermatitis,"A condition of the skin in which it becomes red, swollen, and sore."
Psoriasis,"A condition in which skin cells build up and form scales and itchy, dry patches."
Eczema,A condition that makes skin red and itchy.
Biologics,"A class of drugs derived from living organisms, often used to treat autoimmune diseases."
Immunosuppressant,A drug that lowers the body's immune response.
Chemotherapeutic,Relating to or used in chemotherapy.
Analgesic,A drug acting to relieve pain.
Sedative,A drug taken for its calming or sleep-inducing effect.
Anticoagulant,A drug that prevents blood from clotting.
Thrombolytic,A drug used to dissolve dangerous clots in blood vessels.
Vasodilator,A drug that causes widening of blood vessels.
Bronchodilator,A drug that causes widening of the bronchi (air passages) of the lung.
Antiemetic,A drug effective against vomiting and nausea.
Laxative,A substance that loosens stools and increases bowel movements.
Antipyretic,A substance that reduces fever.
Antibiotic resistance,The ability of bacteria to withstand the effects of an antibiotic.
MRSA,"Methicillin-resistant Staphylococcus aureus, a type of bacteria resistant to several antibiotics."
VRE,"Vancomycin-resistant enterococcus, bacteria resistant to the antibiotic vancomycin."
In vitro,"(of a process) performed or taking place in a test tube, culture dish, or elsewhere outside a living organism."
In vivo,(of a process) performed or taking place in a living organism.
Placebo,"A substance that has no therapeutic effect, used as a control in testing new drugs."
Contraindication,A condition or factor that serves as a reason to withhold a certain medical treatment.
Prophylaxis,Action taken to prevent disease.
Adherence,The extent to which a patient continues an agreed-upon mode of treatment.
Compliance,The degree to which a patient correctly follows medical advice.
Aphasia,Inability to speak or comprehend language due to brain injury.
Amnesia,Loss of memory.
Hallucination,A sensory experience of something that does not exist outside the mind.
Delusion,An idiosyncratic belief or impression that is firmly maintained despite being contradicted by reality.
Schizophrenia,"A long-term mental disorder involving a breakdown in the relation between thought, emotion, and behavior."
Bipolar disorder,A mental health condition that causes extreme mood swings.
Depression,"A common and serious medical illness that negatively affects how you feel, the way you think, and how you act."
Phobia,An extreme or irrational fear of or aversion to something.
PTSD,"Post-Traumatic Stress Disorder, a condition triggered by experiencing or witnessing a terrifying event."
Panic attack,A sudden episode of intense fear that triggers severe physical reactions when there is no real danger.
Hypochondriasis,"Abnormal anxiety about one's health, often involving imaginary symptoms."
Dermatologist,A doctor who specializes in skin conditions.
Oncologist,A doctor who treats cancer.
Cardiologist,A doctor who specializes in the heart.
Nephrologist,A doctor who specializes in kidney diseases.
Endocrinologist,A doctor who specializes in hormones and glands.
Gastroenterologist,A doctor who specializes in the digestive system.
Hematologist,A doctor who specializes in blood diseases.
Rheumatologist,A doctor who specializes in joint and muscle conditions.
Pulmonologist,A doctor who specializes in the respiratory system and lungs.
Physiotherapist,"A professional who treats disease, injury, or deformity by physical methods such as massage, heat treatment, and exercise."
Auscultation,"The action of listening to sounds from the heart, lungs, or other organs, typically with a stethoscope."
Palpation,A method of feeling with the fingers or hands during a physical examination.
Percussion,A method of tapping on a surface to determine the underlying structure.
Biomarker,A measurable indicator of the severity or presence of some disease state.
Morbidity,The condition of suffering from a disease or medical condition.
Mortality,The state of being subject to death; death rate.
Syndrome,"A group of symptoms which consistently occur together, or a condition characterized by a set of associated symptoms."
Symptom,A physical or mental feature that indicates a disease or physical disorder.
Sign,Any objective evidence of disease or dysfunction that can be detected by a physician.
Genetic,Relating to genes or heredity.
Hereditary,Transmitted or transmissible from parent to offspring.
Congenital,(of a disease or condition) present from birth.
Acquired,(of a disease or condition) developed after birth.
Idiopathic,(of a disease or condition) arising spontaneously or from an obscure or unknown cause.
Prophylactic,Intended to prevent disease.
Therapeutic,Relating to the healing of disease.
Palliative,Relieving pain without dealing with the cause of the condition.
Curative,Serving to cure or heal.
Remission,A temporary reduction or disappearance of the symptoms of a disease.
Relapse,The return of a disease after a period of improvement.
Exacerbation,An acute increase in the severity of a disease.
Pathogen,"A bacterium, virus, or other microorganism that can cause disease."
Host,An animal or plant on which a parasite or pathogen lives.
Vector,An organism that transmits a pathogen from one host to another.
Epidemic,A widespread occurrence of an infectious disease in a community at a particular time.
Pandemic,An infectious disease spread over a whole country or the world.
Endemic,(of a disease or condition) regularly found among particular people or in a certain area.
Quarantine,"A state, period, or place of isolation in which people or animals that have arrived from elsewhere or been exposed to infectious disease are placed."
Isolation,Separation from others to prevent the spread of infection.
Nosocomial,(of a disease) originating in a hospital.
Iatrogenic,(of a condition) inadvertently caused by medical treatment.
Amniocentesis,A medical procedure used to diagnose fetal defects or genetic problems.
Endoscopy,A procedure in which a doctor uses an endoscope to examine the inside of a person’s body.
Laparoscopy,A surgical procedure in which a fiber-optic instrument is inserted through the abdominal wall to view the organs.
Biochemical,Relating to the chemical processes occurring within a living organism.
Histology,The study of the microscopic structure of tissues.
Cytology,The study of cells.
Pharmacology,The study of drugs and their effects.
Toxicology,The study of poisons and their effects.
Gerontology,The scientific study of old age and the process of aging.
Neonatology,The medical care of newborn infants.
Ophthalmology,The study of eye anatomy and diseases.
Otorhinolaryngology,"The study of ear, nose, and throat (ENT)."
Anatomy,"The branch of science concerned with the bodily structure of humans, animals, and other living organisms."
Physiology,The way in which a living organism or bodily part functions.
Metabolism,The chemical processes that occur within a living organism to maintain life.
Homeostasis,"The tendency toward a relatively stable equilibrium between interdependent elements, especially as maintained by physiological processes."
Auscultate,"To listen to sounds from the heart, lungs, or other organs, typically with a stethoscope."
Incidence,"The occurrence, rate, or frequency of a disease."
Prevalence,The total number of cases of a specific disease in a given population at a certain time.
Screening,Testing a population for disease in the absence of symptoms.
Prognostic,Relating to the likely course of a disease.
Diagnostic,Relating to the identification of an illness or problem.
Triage,The process of prioritizing patients based on the severity of their condition.
Electrolyte,"A substance that dissolves in water to give a solution that conducts electricity (e.g., sodium, potassium)."
Dehydration,A harmful reduction in the amount of water in the body.
Malaise,"A general feeling of discomfort, illness, or unease whose exact cause is difficult to identify."
Syncope,Temporary loss of consciousness caused by a fall in blood pressure; fainting.
Angiography,An X-ray technique used to examine blood vessels.
Mammography,A technique using X-rays to examine breasts for cancer.
Fluoroscopy,An imaging technique that uses X-rays to obtain real-time moving images.
Immunization,The process of becoming immune to a disease.
Adrenaline,"A hormone secreted by the adrenal glands, especially in conditions of stress, increasing rates of blood circulation, breathing, and carbohydrate metabolism; epinephrine."
Cortisol,A steroid hormone released in response to stress.
Thyroid,A large ductless gland in the neck which secretes hormones regulating growth and metabolism.
Pituitary gland,The master gland in the brain that controls hormone release.
Hypothyroidism,"Underactivity of the thyroid gland, resulting in slow metabolism."
Hyperthyroidism,"Overactivity of the thyroid gland, resulting in rapid metabolism."
Insomnia,Inability to sleep.
Narcolepsy,A condition characterized by an extreme tendency to fall asleep whenever in relaxing surroundings.
Apnea,"Temporary cessation of breathing, especially during sleep (sleep apnea)."
Sclerosis,Abnormal hardening of body tissue.
Cirrhosis,Chronic liver damage characterized by scarring.
Fibrosis,"The thickening and scarring of connective tissue, usually as a result of injury."
Atherosclerosis,"The buildup of fats, cholesterol, and other substances in and on the artery walls."
Thrombolysis,The breakdown of blood clots.
Diastolic,The pressure in the arteries when the heart rests between beats (the bottom number in blood pressure).
Systolic,The pressure in the arteries when the heart beats (the top number in blood pressure).
Artery,A blood vessel that carries oxygenated blood away from the heart.
Vein,A blood vessel that carries deoxygenated blood toward the heart.
Capillary,"The smallest blood vessels, connecting arteries and veins."
Myocardium,The muscular tissue of the heart.
Endocardium,"The thin, smooth membrane that lines the inside of the chambers of the heart."
Pericardium,The membrane enclosing the heart.
Aorta,"The main artery of the body, supplying oxygenated blood to the circulatory system."
Vena Cava,A large vein carrying deoxygenated blood into the heart.
Antihypertensive,A drug used to treat high blood pressure.
Hypnotic,A drug that induces sleep.
Psychoactive,Affecting the mind or behavior.
Neurotransmitter,A chemical messenger that transmits signals across a chemical synapse.
Dopamine,A neurotransmitter that plays a major role in reward-motivated behavior.
Serotonin,"A neurotransmitter that plays a role in mood, sleep, and appetite."
GABA,"Gamma-Aminobutyric Acid, the main inhibitory neurotransmitter in the central nervous system."
Biomarker,A measurable indicator of the severity or presence of some disease state.
Erythema,Redness of the skin.
Pruritus,Severe itching of the skin.
Urticaria,"Hives; a rash of red, raised, itchy welts."
Pustule,A small blister or pimple on the skin containing pus.
Alopecia,Hair loss.
Cyst,"A closed sac or pouch with a definite membrane, containing fluid or semisolid material."
Polyp,"A small growth, typically benign, growing from a mucous membrane."
Tumor,An abnormal mass of tissue that may be benign or malignant.
Malignancy,The state or presence of a malignant tumor; cancer.
Carcinoma,A cancer arising in the epithelial tissue of the skin or the lining of the internal organs.
Sarcoma,A malignant tumor of connective or other non-epithelial tissue.
Leukopenia,A reduction in the number of white cells in the blood.
Neutropenia,An abnormally low count of a type of white blood cell (neutrophils).
Anaphylaxis,"A severe, potentially life-threatening allergic reaction."
Hemostasis,The stopping of a flow of blood.
Coagulation,The process of blood clotting.
Infusion,The introduction of a solution into the body through a vein for therapeutic purposes.
Transfusion,The transfer of blood or blood components from one person to another.
Biocompatibility,The ability of a material to interact with a body system without producing a harmful effect.
Prosthesis,"An artificial body part, such as a limb, eye, or tooth."
Orthosis,An external device applied to a body part to improve function or reduce pain.
Rehabilitation,Restoration to good health or normal life through training and therapy.
Acute respiratory distress syndrome (ARDS),A life-threatening lung condition that prevents enough oxygen from getting into the blood.
Chronic obstructive pulmonary disease (COPD),A chronic inflammatory lung disease that causes obstructed airflow from the lungs.
Tonsillitis,Inflammation of the tonsils.
Pharyngitis,"Inflammation of the pharynx, causing a sore throat."
Laryngitis,"Inflammation of the larynx, typically resulting in huskiness or loss of voice."
Otitis media,Inflammation or infection located in the middle ear.
Conjunctivitis,Pink eye; inflammation of the conjunctiva of the eye.
Gastric reflux,A condition where stomach acid flows back into the esophagus.
Cholelithiasis,The formation of gallstones.
Nephritis,Inflammation of the kidneys.
Cystitis,Inflammation of the urinary bladder.
Endometriosis,A disorder in which tissue that normally lines the uterus grows outside the uterus.
Menopause,The cessation of menstruation.
Osteoporosis,A medical condition in which the bones become brittle and fragile from loss of tissue.
Arthritis,Inflammation of one or more joints.
Folate,A B vitamin essential for red blood cell formation and healthy cell growth.
Thyroxine,The main hormone secreted into the bloodstream by the thyroid gland.
Corticosteroid,A class of steroids used to reduce inflammation and suppress the immune system.
Antidepressant,A drug used to alleviate depression.
Psychotropic,"Affecting the mind, emotions, or behavior."
Seizure,"A sudden, uncontrolled electrical disturbance in the brain."
Etiology,The cause or set of causes of a disease or condition.
Aura,A perceptual disturbance experienced by some with migraines or seizures.
Anoxia,An absence of oxygen.
Hematoma,A solid swelling of clotted blood within the tissues; a bruise.
Surgical excision,The removal by cutting of a part or organ.
Biochemical oxygen demand (BOD),A measure of the amount of oxygen required to remove waste organic matter from water.
Hemodialysis,A type of dialysis that uses a machine to filter blood outside the body.
Peritoneal dialysis,A type of dialysis that uses the lining of the abdomen to filter blood inside the body.