Term,Definition,,,,,,,
Paracetamol,Painkiller and fever reducer that blocks pain signals and lowers body temperature.,,,,,,,
Ibuprofen,"Anti-inflammatory drug used to relieve pain, fever, and swelling.",,,,,,,
Amoxicillin,"Antibiotic used to treat bacterial infections like throat, ear, or urinary tract infections.",,,,,,,
Metformin,Diabetes medicine that lowers blood sugar by improving insulin response.,,,,,,,
Atorvastatin,Lowers cholesterol and helps prevent heart disease by reducing fat in the blood.,,,,,,,
Losartan,Used to treat high blood pressure and protect kidneys in diabetic patients.,,,,,,,
Omeprazole,Reduces stomach acid and treats acid reflux or ulcers.,,,,,,,
Azithromycin,Antibiotic effective against respiratory and skin infections.,,,,,,,
Aspirin,"Reduces pain, fever, and prevents blood clots in low doses.",,,,,,,
Ciprofloxacin,"Antibiotic used for urinary, respiratory, and gastrointestinal infections.",,,,,,,
Insulin,Hormone used to control blood sugar levels in diabetes.,,,,,,,
Hydrochlorothiazide,Diuretic that helps reduce fluid retention and high blood pressure.,,,,,,,
Levothyroxine,Replaces thyroid hormone in hypothyroidism to maintain metabolism.,,,,,,,
Diclofenac,"Pain relief for joint, muscle, or inflammatory conditions.",,,,,,,
Amiodarone,Treats irregular heartbeats by controlling electrical signals in the heart.,,,,,,,
Furosemide,Diuretic that helps remove excess salt and water from the body.,,,,,,,
Cetirizine,"Antihistamine for allergies, sneezing, and runny nose.",,,,,,,
Pantoprazole,Treats acid reflux and protects stomach lining from acid damage.,,,,,,,
Doxycycline,"Antibiotic used for respiratory, skin, and sexually transmitted infections.",,,,,,,
Clopidogrel,Prevents blood clots in patients with heart or blood vessel diseases.,,,,,,,
Bilirubin,"Yellow pigment in bile, high levels indicate liver or blood disorders.",,,,,,,
Creatinine,Waste product measured to assess kidney function.,,,,,,,
Urea,"Waste product of protein breakdown, used to evaluate kidney performance.",,,,,,,
Hemoglobin,Protein in red blood cells that carries oxygen throughout the body.,,,,,,,
WBC Count,Measures white blood cells to assess immune response or infection.,,,,,,,
RBC Count,Counts red blood cells to detect anemia or dehydration.,,,,,,,
Platelet Count,Assesses blood clotting ability and bleeding risk.,,,,,,,
CRP,C-reactive protein; marker for inflammation or infection in the body.,,,,,,,
HbA1c,Measures average blood sugar over past 3 months to monitor diabetes.,,,,,,,
Cholesterol,Fat substance in blood; high levels increase heart disease risk.,,,,,,,
Triglycerides,Type of fat in blood; high levels can lead to heart disease.,,,,,,,
Hypertension,Condition of persistently high blood pressure increasing heart risk.,,,,,,,
Diabetes Mellitus,Chronic condition where the body cannot properly use glucose.,,,,,,,
Anemia,Low hemoglobin or red cells causing fatigue and weakness.,,,,,,,
Thyroid Disorder,Imbalance in thyroid hormones affecting metabolism and energy.,,,,,,,
Asthma,Chronic lung condition causing airway inflammation and breathing difficulty.,,,,,,,
Arthritis,Joint inflammation causing pain and stiffness.,,,,,,,
Migraine,Severe headache often with nausea or light sensitivity.,,,,,,,
Depression,Mood disorder causing persistent sadness and loss of interest.,,,,,,,
Anxiety,Condition marked by excessive worry and restlessness.,,,,,,,
Fever,Temporary increase in body temperature due to illness or infection.,,,,,,,
Cough,Reflex to clear mucus or irritants from the throat and lungs.,,,,,,,
Cold,"Viral infection causing congestion, sneezing, and sore throat.",,,,,,,
COVID-19,Viral respiratory illness caused by SARS-CoV-2.,,,,,,,
Tuberculosis,Bacterial infection that mainly affects the lungs.,,,,,,,
Hepatitis B,Liver infection caused by hepatitis B virus.,,,,,,,
Hepatitis C,Liver disease spread through infected blood contact.,,,,,,,
Jaundice,Yellowing of skin and eyes due to high bilirubin levels.,,,,,,,
Kidney Stone,Hard mineral deposits forming in kidneys causing pain.,,,,,,,
UTI,Urinary Tract Infection; bacterial infection of bladder or urethra.,,,,,,,
Pneumonia,"Lung infection causing cough, fever, and breathing difficulty.",,,,,,,
Malaria,Parasitic infection transmitted by mosquito bites causing fever and chills.,,,,,,,
Typhoid,Bacterial infection from contaminated food or water causing fever.,,,,,,,
Influenza,"Viral infection causing fever, sore throat, and body aches.",,,,,,,
Bronchitis,Inflammation of airways causing cough and mucus.,,,,,,,
Gastritis,Stomach lining inflammation causing pain or nausea.,,,,,,,
Ulcer,Sore in stomach or intestine due to acid damage.,,,,,,,
Dehydration,Loss of body fluids causing weakness and dizziness.,,,,,,,
Obesity,Excess body fat increasing risk of heart disease and diabetes.,,,,,,,
Osteoporosis,Weak bones prone to fractures due to calcium loss.,,,,,,,
Epilepsy,Brain disorder causing recurrent seizures.,,,,,,,
Parkinson’s Disease,Brain disorder affecting movement and coordination.,,,,,,,
Stroke,Brain damage from interrupted blood supply.,,,,,,,
Heart Attack,Blockage of blood flow to heart muscle causing tissue damage.,,,,,,,
Angina,Chest pain due to reduced blood flow to the heart.,,,,,,,
Chronic Kidney Disease,Gradual loss of kidney function over time.,,,,,,,
Liver Cirrhosis,Liver scarring from long-term damage or alcohol abuse.,,,,,,,
Prostate Enlargement,Noncancerous growth of prostate gland in older men.,,,,,,,
Menstrual Irregularities,Abnormal cycle patterns caused by hormonal imbalance.,,,,,,,
Polycystic Ovary Syndrome,Hormonal disorder causing irregular periods and cysts in ovaries.,,,,,,,
Infertility,Inability to conceive after prolonged unprotected intercourse.,,,,,,,
Allergy,Immune overreaction to harmless substances like dust or pollen.,,,,,,,
Eczema,Skin inflammation causing itching and redness.,,,,,,,
Psoriasis,"Skin condition with thick, scaly patches due to fast cell growth.",,,,,,,
Anaphylaxis,Severe allergic reaction needing emergency treatment.,,,,,,,
Vitamin D Deficiency,Low vitamin D levels causing weak bones and fatigue.,,,,,,,
Vitamin B12 Deficiency,Causes anemia and nerve problems due to low vitamin B12.,,,,,,,
Iron Deficiency,Leads to anemia and fatigue due to lack of iron.,,,,,,,
Calcium Deficiency,Low calcium causing bone weakness and cramps.,,,,,,,
Potassium Deficiency,Low potassium leading to muscle weakness and irregular heartbeat.,,,,,,,
Sodium Deficiency,Low sodium affecting fluid balance and nerve function.,,,,,,,
Hyperthyroidism,Overactive thyroid producing excess hormones.,,,,,,,
Hypothyroidism,Underactive thyroid producing too little hormone.,,,,,,,
Chronic Fatigue Syndrome,Long-term tiredness not relieved by rest.,,,,,,,
Panic Attack,Sudden episode of intense fear with physical symptoms.,,,,,,,
Insomnia,Difficulty falling or staying asleep.,,,,,,,
Sleep Apnea,Interrupted breathing during sleep causing tiredness.,,,,,,,
COPD,Chronic lung disease causing airflow blockage and breathing issues.,,,,,,,
Ankylosing Spondylitis,Arthritis affecting spine and causing stiffness.,,,,,,,
Gout,Joint inflammation from uric acid crystal buildup.,,,,,,,
Appendicitis,Swelling of appendix causing severe abdominal pain.,,,,,,,
Gallstones,Solid deposits in gallbladder causing pain after eating.,,,,,,,
Pancreatitis,Inflammation of pancreas causing abdominal pain and nausea.,,,,,,,
GERD,Acid reflux disease causing heartburn and chest discomfort.,,,,,,,
Lactose Intolerance,Inability to digest lactose in milk leading to bloating.,,,,,,,
Celiac Disease,Immune reaction to gluten damaging small intestine.,,,,,,,
Acne,Skin condition with pimples due to clogged pores.,,,,,,,
Hyponatremia,Low sodium in blood causing confusion or weakness.,,,,,,,
Hyperkalemia,High potassium in blood affecting heart rhythm.,,,,,,,
Hypokalemia,Low potassium causing muscle weakness or cramps.,,,,,,,
Sepsis,Life-threatening infection causing widespread inflammation.,,,,,,,
Meningitis,Infection of membranes around brain and spinal cord.,,,,,,,
Encephalitis,Brain inflammation due to viral infection.,,,,,,,
Dermatitis,Inflammation of skin from allergy or irritation.,,,,,,,
Sinusitis,Inflammation of sinus cavities causing headache and congestion.,,,,,,,
Conjunctivitis,Eye infection causing redness and discharge.,,,,,,,
Glaucoma,Increased eye pressure damaging optic nerve.,,,,,,,
Cataract,Clouding of eye lens leading to blurred vision.,,,,,,,
Dengue,Viral fever spread by mosquitoes causing body pain and rash.,,,,,,,
Chikungunya,Mosquito-borne viral infection causing severe joint pain.,,,,,,,
Leukemia,Cancer of blood-forming tissues leading to excess white cells.,,,,,,,
Lymphoma,Cancer of lymphatic system affecting immune response.,,,,,,,
Breast Cancer,Malignant growth in breast tissue.,,,,,,,
Prostate Cancer,Cancer affecting prostate gland in men.,,,,,,,
Lung Cancer,Uncontrolled growth of abnormal cells in lungs.,,,,,,,
Colon Cancer,Cancer of large intestine causing digestive symptoms.,,,,,,,
Skin Cancer,Uncontrolled skin cell growth due to UV exposure.,,,,,,,
HIV/AIDS,Virus that weakens the immune system increasing infection risk.,,,,,,,
Zinc Deficiency,Low zinc causing weak immunity and delayed wound healing.,,,,,,,
Dehydration,Loss of body fluids causing weakness and dry mouth.,,,,,,,